type,index,x,y,z
pixel,0,207,294,
pixel,1,219,220,
pixel,2,231,149,
pixel,3,303,161,
pixel,4,375,173,
pixel,5,368,243,
pixel,6,437,253,
dobot,0,394.1385939730228,-51.51937923165664,-43.0
dobot,1,349.10255810941544,-46.050033515235306,-43.0
dobot,2,304.32742626119887,-40.333835874205505,-43.0
dobot,3,312.00623725396747,0.9439129347785317,-43.0
dobot,4,319.6392934853686,41.975705234568736,-43.0
dobot,5,363.2744555759995,37.668137773199994,-43.0
dobot,6,369.38665028535536,76.12845786748986,-43.0
